id1,id2,ra1,de1,plx1,plx2,pmra1,pmde1,pmra2,pmde2,epmra1,epmde1,epmra2,epmde2,g1,g2,mh1,mh2,sep_asec
261243245503357056,261243245503357184,77.59290099995212,48.840629657770734,42.8442894528191,42.82489756685424,176.01753611865263,-390.280811240227,179.08168740482853,-387.4109808411025,0.0289974,0.02470714,0.02858791,0.024331799,11.075937,11.137177,-0.4116,-1.2562,2.008896759108709
468099109682707072,468100862029354496,43.597958513574035,64.43146781723703,23.394429390580942,23.39873814372325,113.278553293697,-121.87368385674493,112.9300255319936,-120.68948498085919,0.007662888,0.01677655,0.0066916062,0.014831802,14.101946,13.840381,,,108.14187200617765
484219736852178048,484219736853419648,79.53093490922815,67.17988860189574,22.947787281330047,22.947586799181256,110.58991915936093,-133.500880576984,109.92791652850096,-136.87829918402542,0.015633319,0.018021727,0.009888534,0.011792842,14.827289,10.37734,,,9.787463958560178
522185284946865792,522186113873620224,30.581571440171107,70.89828223632908,27.730036200423147,27.84581255001747,-69.97746961058328,-1.1876630136542852,-69.9222836658746,0.0077643753484601275,0.07330636,0.083244115,0.0135344835,0.01770277,17.39348,12.165263,,,102.23387488413718
571286901557793920,571286901557794304,57.60591830557054,84.7659841165349,21.549933641926323,21.61254748819462,39.88655856171056,81.62833221102784,44.880899276234345,78.65705742243426,0.01689919,0.015645457,0.06324829,0.06218329,13.813665,16.794216,,-0.3093,3.157281356311274
970115399998362496,970115399999629056,93.21078316943846,49.317631605391576,21.588645381202703,21.32506238185121,-111.82525344941168,-73.13064290281551,-110.13645570743766,-73.88370692864089,0.12831783,0.10401339,0.012338894,0.010047129,17.935507,9.71573,,-0.0898,10.009551756922662
986030727731770496,986030727731770624,114.30971159960244,55.55096176378527,23.67508986703509,23.884475132818967,176.13062559305007,-126.19816271386176,178.93090623124493,-125.7549132842065,0.013371716,0.009816649,0.102469385,0.09610277,10.607425,17.463367,,,3.633386062580564
1129039772750111104,1129039772750111360,172.83458144248397,78.23516246784506,24.15976088730162,24.16069223073531,-91.99789194047764,-171.40909034104186,-93.08455992117935,-168.8967215877563,0.087162815,0.0958986,0.021632802,0.023872606,17.330189,14.806663,,-0.4269,2.793735875817639
1420972548150735744,1420972823029057408,263.0679671237433,55.173182955417175,33.41866248317232,33.20974531201293,144.33873448943183,59.58474934843501,148.03953486244038,54.1936339781182,0.15931427,0.16042934,0.098790355,0.13588768,4.792332,4.8390512,-0.5683,-0.8589,62.03775048219598
1511727333122255744,1511727371779512704,214.0403113385615,51.367626355117125,33.88557592210041,34.029822609267875,-149.27736995149468,89.13483921725486,-145.73380777311306,92.99974796193554,0.07721547,0.09007942,0.02364401,0.027045159,4.6919436,8.051169,-0.3173,-0.2627,38.94035068792384
